"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Mervis, Matt","670223","2024","28","18",0.115,0.123,-0.007999999999999993,0.154,0.221,-0.067,0.137,0.176,-0.03899999999999998
"Adrianza, Ehire","501303","2024","28","15",0.192,0.172,0.020000000000000018,0.346,0.307,0.03899999999999998,0.262,0.241,0.02100000000000002
"Leblanc, Charles","641779","2024","28","12",0.19,0.206,-0.015999999999999986,0.476,0.461,0.014999999999999958,0.382,0.381,0.0010000000000000009
"Wiemer, Joey","686894","2024","28","17",0.154,0.181,-0.026999999999999996,0.154,0.292,-0.13799999999999998,0.175,0.245,-0.07
"Canario, Alexander","672744","2024","28","14",0.28,0.197,0.08300000000000002,0.44,0.38,0.06,0.35,0.295,0.05499999999999999
"McKinney, Billy","641856","2024","28","12",0.2,0.161,0.03900000000000001,0.24,0.236,0.0040000000000000036,0.246,0.232,0.013999999999999985
"Stevenson, Cal","670276","2024","27","20",0.25,0.236,0.014000000000000012,0.375,0.387,-0.01200000000000001,0.314,0.318,-0.0040000000000000036
"Hiura, Keston","669374","2024","27","17",0.148,0.192,-0.04400000000000001,0.148,0.246,-0.098,0.131,0.193,-0.062
"Miller, Owen","680911","2024","27","19",0.185,0.184,0.0010000000000000009,0.222,0.238,-0.015999999999999986,0.177,0.185,-0.008000000000000007
"Peterson, Jace","607054","2024","26","17",0.045,0.203,-0.15800000000000003,0.045,0.237,-0.192,0.113,0.251,-0.138
"Kennedy, Buddy","671083","2024","26","15",0.19,0.288,-0.09799999999999998,0.381,0.44,-0.059,0.301,0.392,-0.09100000000000003
"Walton, Donovan","622268","2024","25","15",0.136,0.183,-0.046999999999999986,0.273,0.306,-0.032999999999999974,0.236,0.274,-0.038000000000000034
"Kessinger, Grae","666197","2024","25","14",0,0.121,-0.121,0,0.233,-0.233,0.112,0.238,-0.126
"Gasper, Mickey","681508","2024","23","10",0,0.209,-0.209,0,0.263,-0.263,0.151,0.321,-0.17
"León, Pedro","694175","2024","21","10",0.1,0.129,-0.028999999999999998,0.1,0.239,-0.13899999999999998,0.117,0.185,-0.06799999999999999
"Wynns, Austin","642851","2024","20","14",0.368,0.289,0.07900000000000001,0.579,0.365,0.21399999999999997,0.419,0.306,0.11299999999999999
