"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
669065,"Stowers, Kyle",814,0.9024390243902439,566,"75.003284631",0.5171990171990173,0.29858657243816256,0.2076167076167076,0.17491166077738515,0.12162162162162163,"6.737465393",24,4.866741812072711,248,0.3046683046683047,259,0.3181818181818182
805904,"Cole, Zach",78,0.896551724137931,45,"74.976982051",0.4871794871794871,0.17777777777777778,0.10256410256410256,0.13333333333333333,0.07692307692307693,"7.390894359",3,0.7011265937746796,33,0.4230769230769231,16,0.20512820512820512
691373,"Garcia, Jhostynxon",14,0.875,8,"74.966657143",0.5,0.125,0.07142857142857142,0,0,"7.892589286",1,-0.5359216451176233,6,0.42857142857142855,2,0.14285714285714285
656305,"Chapman, Matt",824,0.9064906490649065,627,"74.95186142",0.5084951456310678,0.29984051036682613,0.22815533980582525,0.18022328548644337,0.13713592233009708,"7.486535886",20,-15.09182443886769,197,0.23907766990291263,301,0.36529126213592233
680769,"Alexander, CJ",32,0.8888888888888888,18,"74.881265313",0.46875,0.1111111111111111,0.0625,0.05555555555555555,0.03125,"7.9768",1,-2.321421771930422,14,0.4375,9,0.28125
695600,"Jensen, Carter",125,0.9124087591240876,95,"74.87881096",0.4399999999999999,0.35789473684210527,0.272,0.25263157894736843,0.192,"6.87470632",4,2.4766805004865047,30,0.24,43,0.344
687515,"Thomas, Colby",242,0.9029850746268657,162,"74.815456818",0.49173553719008256,0.2716049382716049,0.18181818181818182,0.19753086419753085,0.1322314049586777,"7.684781405",7,-1.1388153983726914,80,0.3305785123966942,71,0.29338842975206614
683146,"Baty, Brett",717,0.9053030303030303,527,"74.80152152",0.48535564853556484,0.3092979127134725,0.22733612273361228,0.174573055028463,0.12831241283124128,"7.358614142",16,-5.1843528115146,190,0.2649930264993027,261,0.36401673640167365
683357,"Caissie, Owen",55,0.9016393442622951,32,"74.785902182",0.5454545454545453,0.15625,0.09090909090909091,0.03125,0.01818181818181818,"6.923442545",1,-2.5108013424946116,23,0.41818181818181815,12,0.21818181818181817
685301,"Gorski, Matt",80,0.898876404494382,52,"74.7819525",0.46249999999999997,0.23076923076923078,0.15,0.1346153846153846,0.0875,"7.918019",4,-1.4487290928560579,28,0.35,22,0.275
680776,"Duran, Jarren",1090,0.9083333333333333,797,"74.780223881",0.47522935779816516,0.3199498117942284,0.23394495412844038,0.1944792973651192,0.14220183486238533,"7.483983569",21,-15.271286595216651,293,0.26880733944954127,417,0.38256880733944953
657757,"Sheets, Gavin",916,0.9078295341922695,732,"74.776802238",0.5185589519650654,0.3128415300546448,0.25,0.1762295081967213,0.1408296943231441,"7.744474476",20,-10.223614010792174,184,0.20087336244541484,374,0.40829694323144106
642133,"Tellez, Rowdy",505,0.9017857142857143,372,"74.750592416",0.485148514851485,0.3279569892473118,0.24158415841584158,0.1881720430107527,0.13861386138613863,"7.962980733",11,-9.55101355052201,133,0.2633663366336634,188,0.3722772277227723
691723,"Mayo, Coby",448,0.9032258064516129,311,"74.732967813",0.4776785714285715,0.2508038585209003,0.17410714285714285,0.1382636655948553,0.09598214285714286,"7.321488013",3,-10.811538108195894,137,0.30580357142857145,160,0.35714285714285715
