"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
643376,"Jansen, Danny","R","70.457263258",30.271424249631227,15.86465717967246,-8.475056352516827,0.5927601809954753,14.061970149507626,36.75759868784147,22.695628538333835,29.35240230621942,221
663757,"Grisham, Trent","L","70.43372386",28.363886575944825,13.669264173739583,-0.6130947259193696,0.6230248306997742,-7.4954957562465445,26.079348756088244,33.57484451233478,31.061771201844028,443
692216,"Kayfus, CJ","L","70.4332126",36.43926474867812,13.396447601169596,-6.304185190614768,0.38000000000000006,2.5567765671760947,32.57754735292368,30.020770785747576,21.454191475569157,50
671289,"Freeman, Tyler","R","70.432646164",33.68910569257187,2.613153677873402,0.2548062974049466,0.3095238095238094,0.10379594798037181,29.40999307821758,29.306197130237205,29.527932682659085,378
663368,"Perkins, Blake","R","70.430577133",29.700073123253304,9.328536778607086,0.830718663562996,0.6466666666666667,-1.3348600778928321,25.76026243574919,27.095122513642025,29.76450039503765,150
518692,"Freeman, Freddie","L","70.425396629",42.54757303985628,7.533245259618818,2.2403974495219905,0.42039800995024873,-3.655783868010407,26.068544399781157,29.724328267791563,30.966900010462727,804
691720,"Karros, Kyle","R","70.411063608",37.71420945551249,7.688810040006797,-7.2278594691655975,0.4241842610364683,5.3943048448027175,28.1998003060694,22.805495461266684,27.62773122125689,521
645305,"Sánchez, Ali","R","70.401409394",32.64920782173511,10.381544337852782,3.778831462730973,0.5909090909090908,2.4952266293071332,30.35073751512162,27.855510885814482,28.930808189464912,66
680474,"Schuemann, Max","R","70.381864737",31.013850714115783,12.613370449103602,-5.912578950161617,0.5368421052631578,-0.3586407106998448,29.758775852178402,30.117416562878258,30.940051359538028,95
686469,"Pasquantino, Vinnie","L","70.361834953",28.553854171906995,10.897906572978398,-10.600286823605968,0.5822306238185255,3.4428742840832243,32.53016006265323,29.087285778570013,31.371110087649733,529
690022,"Ritter, Ryan","R","70.347505333",34.765080274272066,16.41736940953509,-8.418686088873336,0.26666666666666666,5.516346740333543,30.92478167889307,25.40843493855953,26.812881811267854,15
806198,"Pratt, Cooper","R","70.340228765",36.92424956042363,7.7748430127597,1.66868694229249,0.38823529411764696,-2.910735648839605,28.998722856147324,31.90945850498693,22.977949971184955,170
805999,"Ewing, A.J.","L","70.340051646",37.38749060057932,8.614044569610876,-1.5724275358517095,0.3940149625935162,6.974600873699769,32.30446041532099,25.32985954162123,23.468697160951514,401
670097,"Short, Zack","R","70.328213925",34.182482933807194,14.040704022938197,-3.695028906094272,0.6168224299065419,-0.7189821206469023,35.247800207823516,35.96678232847039,26.59809410934136,107
620443,"Torrens, Luis","R","70.310603119",30.577371307459426,7.005301737669657,7.908358924123588,0.5080385852090032,-2.572102908494071,24.779695093251032,27.35179800174511,30.109191613773238,311
683734,"Vaughn, Andrew","R","70.30876156",28.734176757668525,7.75178574005081,-1.9359419505026496,0.524,-2.397386946427844,29.626482402067424,32.023869348495275,28.97708329782951,250
702176,"Roden, Alan","L","70.279768444",30.492374535136015,8.716854820429438,-5.410600990307582,0.4888888888888889,2.30936449484226,33.777589274478316,31.468224779636067,28.97103100550207,45
647304,"Naylor, Josh","L","70.264916897",29.497990365993303,8.45672115217217,-7.381161182826914,0.45484400656814455,-1.0226440373356236,25.752949357802486,26.77559339513811,25.242803611245083,609
682997,"Callihan, Tyler","L","70.234406",34.1736668175805,11.781324873869133,-5.583722071769106,0.4216216216216217,2.276223275193498,30.654538593439682,28.378315318246184,28.487668230306724,185
